/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 154009 kHz - Voltage: 1200 mV
Done generating 10k items table for seed = 10
run,freq,success,fail,total,time
5,210000000,1000000,0,1000000,1973
6,210000000,1000000,0,1000000,2008
7,210000000,1000000,0,1000000,2079
8,210000000,1000000,0,1000000,2009
9,210000000,1000000,0,1000000,2004
10,210000000,1000000,0,1000000,1991
11,210000000,1000000,0,1000000,2000
12,210000000,1000000,0,1000000,2065
13,210000000,1000000,0,1000000,1979
14,210000000,1000000,0,1000000,1997
15,210000000,1000000,0,1000000,1989
16,210000000,1000000,0,1000000,1939
17,210000000,1000000,0,1000000,1979
18,210000000,1000000,0,1000000,1982
19,210000000,1000000,0,1000000,1987
20,210000000,1000000,0,1000000,1979
21,210000000,1000000,0,1000000,1983
22,210000000,1000000,0,1000000,1926
23,210000000,1000000,0,1000000,1986
24,210000000,1000000,0,1000000,1922
25,210000000,1000000,0,1000000,1978
26,210000000,1000000,0,1000000,1974
27,210000000,1000000,0,1000000,1967
28,210000000,1000000,0,1000000,1940
29,210000000,1000000,0,1000000,1934
30,210000000,1000000,0,1000000,1940
31,210000000,1000000,0,1000000,1982
32,210000000,1000000,0,1000000,1943
33,210000000,1000000,0,1000000,1935
34,210000000,1000000,0,1000000,2091
35,210000000,1000000,0,1000000,2055
36,210000000,1000000,0,1000000,1937
37,210000000,1000000,0,1000000,1954
38,210000000,1000000,0,1000000,1942
39,210000000,1000000,0,1000000,1980
40,210000000,1000000,0,1000000,1929
41,210000000,1000000,0,1000000,1968
42,210000000,1000000,0,1000000,2057
43,210000000,1000000,0,1000000,2052
44,210000000,1000000,0,1000000,2025
45,210000000,1000000,0,1000000,1945
46,210000000,1000000,0,1000000,1939
47,210000000,1000000,0,1000000,1940
48,210000000,1000000,0,1000000,1816
49,210000000,1000000,0,1000000,2050
50,210000000,1000000,0,1000000,2027
51,210000000,1000000,0,1000000,2024
52,210000000,1000000,0,1000000,1828
53,210000000,1000000,0,1000000,1959
54,210000000,1000000,0,1000000,2011
55,210000000,1000000,0,1000000,1818
56,210000000,1000000,0,1000000,1947
57,210000000,1000000,0,1000000,1810
58,210000000,1000000,0,1000000,2073
59,210000000,1000000,0,1000000,2099
60,210000000,1000000,0,1000000,2022
61,210000000,1000000,0,1000000,1840
62,210000000,1000000,0,1000000,1816
63,210000000,1000000,0,1000000,1825
64,210000000,1000000,0,1000000,1808
65,210000000,1000000,0,1000000,1875
66,210000000,1000000,0,1000000,1854
67,210000000,1000000,0,1000000,1905
68,210000000,1000000,0,1000000,1840
69,210000000,1000000,0,1000000,1905
70,210000000,1000000,0,1000000,1870
71,210000000,1000000,0,1000000,1857
72,210000000,1000000,0,1000000,1855
73,210000000,1000000,0,1000000,1825
74,210000000,1000000,0,1000000,1908
75,210000000,1000000,0,1000000,1919
76,210000000,1000000,0,1000000,1879
77,210000000,1000000,0,1000000,1918
78,210000000,1000000,0,1000000,1875
79,210000000,1000000,0,1000000,1867
80,210000000,1000000,0,1000000,1847
81,210000000,1000000,0,1000000,1915
82,210000000,1000000,0,1000000,1906
83,210000000,1000000,0,1000000,1917
84,210000000,1000000,0,1000000,1880
85,210000000,1000000,0,1000000,1887
86,210000000,1000000,0,1000000,1918
87,210000000,1000000,0,1000000,1917
88,210000000,1000000,0,1000000,1931
89,210000000,1000000,0,1000000,1911
90,210000000,1000000,0,1000000,1907
91,210000000,1000000,0,1000000,1894
92,210000000,1000000,0,1000000,1906
93,210000000,1000000,0,1000000,1908
94,210000000,1000000,0,1000000,1900
95,210000000,1000000,0,1000000,1904
96,210000000,1000000,0,1000000,1882
97,210000000,1000000,0,1000000,1915
98,210000000,1000000,0,1000000,1901
99,210000000,1000000,0,1000000,1935
0,215000000,1000000,0,1000000,1856
1,215000000,1000000,0,1000000,1851
2,215000000,1000000,0,1000000,1954
3,215000000,1000000,0,1000000,1918
4,215000000,1000000,0,1000000,1891
5,215000000,1000000,0,1000000,1868
6,215000000,1000000,0,1000000,1958
7,215000000,1000000,0,1000000,1918
8,215000000,1000000,0,1000000,1985
9,215000000,1000000,0,1000000,1913
10,215000000,1000000,0,1000000,1892
11,215000000,1000000,0,1000000,2029
12,215000000,1000000,0,1000000,2020
13,215000000,1000000,0,1000000,2003
14,215000000,1000000,0,1000000,1968
15,215000000,1000000,0,1000000,1949
16,215000000,1000000,0,1000000,1870
17,215000000,1000000,0,1000000,1897
